ID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50
id1	-0.198240333	-0.258848519	1.297423305	0.041940097	0.066033919	0.09018175	0.31852238	-0.242638673	0.57574629	0.929012511	-0.186448714	-0.156975753	-0.143773759	0.040432248	-0.09209779	0.136707421	-0.090164486	-0.24649353	-0.463675866	-0.304034793	-0.168098297	-0.314650454	-0.246008567	-0.009953069	-0.03931202	0.013794142	0.204407015	0.010845158	-0.156892518	-0.420454854	-0.012487213	0.19361355	-0.141820638	-0.204367809	0.206383309	-0.249325985	-0.309073064	0.060224834	0.244249025	-0.125179271	-0.165616571	-0.33985401	-0.748918129	0.362315218	-0.341820598	-0.344760592	0.108704194	0.093557698	-0.087907229	-0.048163327
id2	-0.321275939	0.049650435	1.527504124	0.045501461	-0.13069341	-0.239294863	-0.195736854	0.022878353	-0.282834776	-0.271798184	0.511308208	-0.045992012	0.03586421	-0.163461765	0.55938744	-0.007917012	0.10133458	-0.066668232	0.485991165	0.07737193	0.059773138	0.734259	-0.051232633	0.179239698	0.327031449	0.159484725	-0.050882197	0.40236823	-0.149703129	0.138660624	-0.141405324	0.084813905	-0.228359293	-0.235648158	NA	-0.000204848	0.591189179	-0.024744565	-0.768883621	0.108868465	-0.068166296	-0.597564906	0.468744903	0.196177689	0.116498243	0.087407277	0.162987594	-0.185596215	0.104966057	0.033116665
id3	-0.896189568	-0.208269415	0.833389204	-0.124841282	-0.619285567	0.097294838	0.299950216	-0.026494851	0.023627568	0.808410913	-0.088492766	0.072586775	0.193132458	-0.051651174	-0.222374974	NA	-0.358039456	-0.00381834	0.04093246	-0.114106483	-0.081363926	-0.565374223	-0.104802579	-0.077733123	-0.235457913	0.103534757	0.008413148	0.63796218	-0.053218552	-0.08121106	0.033188055	-0.107519279	0.016836324	0.032832015	-0.189955547	0.238317026	-0.246321181	-0.071633926	0.015511375	0.028854575	-0.047358742	0.733551146	0.108433942	0.075661248	0.103074478	-0.304405572	0.679861523	0.135713121	-0.099767741	-0.11419229
id4	-0.008475653	0.154702771	0.262265534	-0.003643027	0.17093694	-0.027123093	0.452726723	0.450734975	0.438443515	-0.099797435	0.069542475	-0.00175631	0.027794617	0.313592681	-0.224430725	-0.27226697	0.23133798	0.142664178	-0.252753994	0.024110424	0.056874147	-0.186662127	0.329471326	-0.023785923	-0.404298184	0.225767569	0.57242366	0.198165163	0.130458798	0.08696805	0.018539597	0.2153838	0.245405444	0.345059893	0.121693042	0.621991902	0.562009248	9.99106E-05	-0.205191317	0.202351546	NA	1.265382409	0.42011199	0.009637693	0.028684411	0.267904907	0.05571389	-0.172586991	0.01705177	-0.180974809
id5	-0.524382078	0.198229012	1.195830365	-0.042838474	-0.404031888	0.054605961	-0.065205401	0.714181596	-0.180682248	-0.192771335	0.143281713	0.156620662	0.493208121	-0.129104458	0.499897717	-0.299948023	-0.47130188	0.396277322	0.773350808	0.25999595	0.236435494	-0.638786635	0.651134754	0.114878691	0.348599708	0.373745611	0.084055611	1.821988493	0.194785897	0.288402996	0.347242056	-0.053123798	0.7462726	-0.078108875	0.634920816	-0.181653939	-0.712590775	0.012846276	0.250132135	0.006912437	0.067677651	0.257296575	0.558044927	0.446223546	0.070064124	0.215246863	NA	0.140367372	0.243975218	0.279501635
id6	0.233873129	-0.113176908	0.649849945	-0.070935867	0.308373363	-0.110990379	0.136159266	-0.002915893	-0.886057855	-0.109771143	-0.20784779	-0.124349191	-0.09261858	-0.387133957	0.406299915	0.041866639	0.130608872	0.076366457	0.166871234	-0.024130179	-0.135338763	-0.338134278	0.04650182	-0.004834905	0.402658079	0.345583676	-0.08362504	1.389436686	-0.188078548	0.12280567	-0.186446908	-0.128270105	0.211362085	-0.241692687	-0.032379408	-0.116782465	-0.266127411	-0.066726023	-0.257795208	-0.079378229	-0.053909182	-0.285148647	0.253196966	0.24621515	0.166011424	-0.081082904	0.370955296	-0.128749039	0.05931063	0.127754982
id7	-0.234588852	0.271209108	1.189266943	-0.103017402	-0.190226035	-0.193311904	1.464414592	0.232921022	-0.499701438	-0.157557992	-0.012955218	-0.111722957	0.070159859	0.210476274	0.33853125	0.012353199	0.014096563	0.030626838	0.666846922	-0.099940131	-0.004712392	1.038433646	-0.179985736	0.144883645	0.485278727	0.174018578	-0.132261564	-0.007569334	0.15951433	0.37627938	-0.157357819	0.363233782	0.140173081	0.201068108	0.05560621	-0.082970553	0.794214761	0.024919809	-0.189293099	0.009208721	0.093476269	-0.775679373	0.141384897	0.676889474	0.43982659	0.135662753	-0.78691757	-0.024695404	0.164678531	0.074325762
id8	0.870200187	0.671797191	1.918075224	-0.072198727	0.496216065	0.043417965	0.323744276	0.225796451	-0.977295758	0.713891204	0.122363461	0.170805088	0.276176932	0.001417447	0.134679165	0.49094758	0.057872807	0.577325583	0.576954344	0.280386685	0.200609927	0.694461289	0.514952629	0.012458068	NA	0.423326413	-0.069110636	0.142959268	0.020853689	0.350916317	0.282325933	-0.075797043	0.407079871	0.398404418	0.223619246	0.056732685	0.469591834	0.011018312	0.67247932	0.289300864	0.27839569	-0.359631775	-0.061703066	0.381717216	0.316334731	0.500031377	0.103012416	0.329085005	0.102430064	NA
id9	0.848362198	0.024926493	1.062148166	0.054537992	0.811425551	NA	0.795316718	0.672132423	0.061298761	0.026899944	0.570161442	0.146415136	0.229142177	0.030791512	0.507281307	0.241941205	-0.760569146	0.236639137	-0.103182314	0.406667144	0.486216568	-0.04670566	0.574153605	0.117121963	0.18992878	0.729896026	0.064755314	1.248526743	0.32869584	0.12160484	0.407056517	0.200186829	0.379238442	0.163754961	0.153297525	-0.02198923	-0.123461701	-0.08642709	0.098027676	-0.035944438	0.063239324	0.182116167	0.201745986	0.351092079	-0.348989831	0.23451191	0.496147064	0.225437475	0.290713643	0.01199947
id10	0.089038501	0.507264444	0.91394287	-0.089762384	-0.289511959	0.163167435	0.456744637	0.316853715	0.061103096	0.177075311	0.70083471	-0.053254458	0.087658506	0.058914061	-0.160249176	-0.150883775	0.314839973	NA	-0.120068481	0.405096183	0.339826147	0.566374892	0.40127422	0.097467726	0.072155759	0.035934034	0.288997242	1.151639713	-0.070740435	-0.147337339	0.324749945	-0.118762898	0.384612215	-0.426150904	0.119758382	0.238234306	0.939939541	-0.015864561	-0.024428208	0.327201482	0.240638892	0.65323818	0.670319093	-0.163272401	-0.035063592	0.601634407	0.577941098	-0.029128679	0.056266887	-0.006516198
